content,n_words,clean,count_clean,review_without_stopwords,count_without_stopwords
very helpful and the doctor is friendly and informative. thank you halodoc,12,very helpful and the doctor is friendly and informative thank you halodoc,12,helpful doctor friendly informative thank halodoc,6
"good service, but why is the medicine sent from surabaya to gresik?",12,good service but why is the medicine sent from surabaya to gresik,12,good service medicine sent surabaya gresik,6
very helpful... can search for drug recommendations before going to the doctor offline...,13,very helpful can search for drug recommendations before going to the doctor offline,13,helpful search drug recommendations going doctor offline,7
"compared to queuing for a check-up with a doctor at the hospital. it's better to consult with halo doc first. very helpful. hopefully in the future there will be more doctors, because many are busy. thank you halo doc (:",40,compared to queuing for  checkup with  doctor at the hospital its better to consult with halo doc first very helpful hopefully in the future there will be more doctors because many are busy thank you halo doc,37,compared queuing checkup doctor hospital better consult halo doc first helpful hopefully future doctors many busy thank halo doc,19
thank you halodoc,3,thank you halodoc,3,thank halodoc,2
good doctors are always ready to answer questions and problems.,10,good doctors are always ready to answer questions and problems,10,good doctors always ready answer questions problems,7
nice,1,nice,1,nice,1
"it always errors (already 4/5 times in the same time span) every time i update the list of medicines i want to buy, even though i really need the medicines.",30,it always errors already times in the same time span every time  update the list of medicines  want to buy even though  really need the medicines,26,always errors already times time span every time update list medicines want buy even though really medicines,17
great apps for beginners like me. who doesn't depend on people in the society. very much an introvert person indeed. with this app i can easily consult everything in need. thank you and very much appreciate the innovation of this app.,41,great apps for beginners like me who doesnt depend on people in the society very much an introvert person indeed with this app  can easily consult everything in need thank you and very much appreciate the innovation of this app,40,great apps beginners like doesnt depend people society much introvert person indeed app easily consult everything thank much appreciate innovation app,21
super great for people who can't go out because of menstrual pain. helps a lot,15,super great for people who cant go out because of menstrual pain helps  lot,14,super great people cant go menstrual pain helps lot,9
"just ok. the halodoc system should be able to check whether the voucher code has been used or not, whether it is valid or not. i was given a voucher code but when i wanted to use it the next day it was invalid.",44,just ok the halodoc system should be able to check whether the voucher code has been used or not whether it is valid or not  was given  voucher code but when  wanted to use it the next day it was invalid,41,ok halodoc system able check whether voucher code used whether valid given voucher code wanted use next day invalid,19
